RegionID;Title;DSID;CodeGIBDD;CodeGOST;Capital;Population;NumberOfSchool;SchoolContingent;NumberOfSPO;SPOContingent;RCAddress;RCHead;RCContact;Indicator
1;Алтайский край;5;22;RU-ALT;г.Барнаул;2130950;1055;285640;54;57157;Алтайский край, г.Барнаул, пр.Социалистический 60, 656049;Николенко Ирина Алексеевна;navigatory.detstva.22@rosdetcentr.ru;5
2;Амурская область;1;28;RU-AMU;г.Благовещенск;756198;333;100068;13;22976;0;Куприенко Екатерина Владимировна;navigatory.detstva.28@rosdetcentr.ru;1
3;Архангельская область;3;29;RU-ARK;г.Архангельск;964304;424;"127977
";41;26968;0;Корельская Елена Александровна;navigatory.detstva.29@rosdetcentr.ru;2
4;Астраханская область;8;30;RU-AST;г.Астрахань;950557;285;125681;17;29156;Астраханская область, г. Астрахань, ул. Володарского, д. 9, 414000;Прокудина Анна Михайловна;navigatory.detstva.30@rosdetcentr.ru;1
5;Республика Башкортостан;2;02;RU-BA;г.Уфа;4077600;1836;519730;94;110599;450001, г. Уфа, проспект Октября, д. 4;Трегубова Елена Игоревна;navigatory.detstva.02@rosdetcentr.ru;2
6;Белгородская область;7;31;RU-BEL;г.Белгород;1514527;549;170158;34;39324;308007, Белгородская область, г. Белгород, ул. Студенческая, д. 14 корпус 4 кабинет 914.;Белая Татьяна Владимировна;navigatory.detstva.31@rosdetcentr.ru;5
7;Брянская область;7;32;RU-BRY;г.Брянск;1152505;516;131499;26;27688;Брянская область, г. Брянск, ул. Фокина, 29, каб 401;Шишкин Сергей Сергеевич;navigatory.detstva.32@rosdetcentr.ru;2
8;Республика Бурятия;1;03;RU-BU;г.Улан-Удэ;974628;473;152469;26;29181;Улан-Удэг.Улан-Удэ,УлицаШмидта,21,670000;Бардаханова Валентина Анатольевна;navigatory.detstva.03@rosdetcentr.ru;4
9;Владимирская область;7;33;RU-VLA;г.Владимир;1325510;365;150421;34;32348;0;Вихрева Людмила Владимировна;navigatory.detstva.33@rosdetcentr.ru;3
10;Волгоградская область;8;34;RU-VGG;г.Волгоград;2470057;835;263921;52;62539;Волгоградская область, г. Волгоград, ул. Елисеева 7, 400120;Шачнева Анастасия Игоревна;navigatory.detstva.34@rosdetcentr.ru;2
11;Вологодская область;3;35;RU-VLG;г.Вологда;1128782;337;143916;34;31847;Вологодская область, г. Вологда, ул. Казакова 11а;Зятюшкова Наталия Александровна;navigatory.detstva.35@rosdetcentr.ru;1
12;Воронежская область;7;36;RU-VOR;г.Воронеж;2285282;763;251400;54;52285;город Воронеж, улица Березовая Роща, 54 (Воронежский институт развития образования имени Н. Ф. Бунакова - 155 кабинет);Плотникова Наталья Михайловна;navigatory.detstva.36@rosdetcentr.ru;4
13;Город Байконур;10;94;KZ-BAY;г.Байконур;0;0;0;0;0;0;Шапошникова Татьяна Викторовна;navigatory.detstva.99@rosdetcentr.ru;5
14;Город федерального значения Москва;7;77;RU-MOW;г.Москва;13104177;727;1164149;107;222231;0;Богомолова Елена Альфредовна;navigatory.detstva.77@rosdetcentr.ru;2
15;Республика Дагестан;4;05;RU-DA;г.Махачкала;3209781;1442;469381;58;79252;Республика Дагестан, г. Махачкала, ул. Генерала Магомедтагирова (Казбекова), 159;Гаджиева Зухра Казбековна;navigatory.detstva.05@rosdetcentr.ru;1
16;Донецкая Народная Республика;9;80;RU-DON;г.Донецк;2202440;590;153000;85;0;ДНР, 283001, г. Донецк,  ул. Артема, 46;Суркова Наталья Александровна;navigatory.detstva.93@rosdetcentr.ru;1
